name,location,property_type,accommodates,amenities,price,min_nights,max_nights,review_rating,tags
27 floor studio with amazing cn tower view,waterfront communities-the island,entire condo,2,"wine glasses, paid parking on premises, exercise equipment: free weights, treadmill, workout bench, wifi, ethernet connection, freezer, shared indoor pool - available all year, open specific hours, heated, single level home, pets allowed, shared hot tub, dining table, kitchen, hot water, private entrance, 43 inch hdtv, elevator, bathtub, dishes and silverware, free dryer – in unit, central air conditioning, dedicated workspace, free washer – in unit, coffee maker: keurig coffee machine, paid parking garage off premises, iron, dishwasher, central heating, city skyline view, cooking basics, smoke alarm, self check-in, bloomberg refrigerator, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, microwave, essentials, smart lock, mini fridge, bloomberg electric stove, bed linens, bloomberg single oven, long term stays allowed, toaster",143.0,31,90,5.0,"studio, view, waterfront"
"dt room, clean, sanitized & cozy",moss park,private room in townhouse,1,"wifi, freezer, kitchen, hot water, private entrance, shampoo, electric stove, clothing storage: closet, room-darkening shades, keypad, dishes and silverware, central air conditioning, lock on bedroom door, shared patio or balcony, toaster, iron, central heating, conditioner, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, carbon monoxide alarm, microwave, hot water kettle, essentials, refrigerator, body soap",51.0,29,90,5.0,"clean, cozy"
riverdale suite artist retreat,playter estates-danforth,private room in home,2,"private living room, wifi, freezer, tv with roku, dvd player, laundromat nearby, blender, dining table, hot water, private entrance, shampoo, shower gel, clothing storage, washer – in building, first aid kit, luggage dropoff allowed, books and reading material, bathtub, coffee, keypad, dishes and silverware, central air conditioning, lock on bedroom door, dryer – in building, iron, paid parking lot off premises, central heating, smoke alarm, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, portable fans, cleaning products, fire extinguisher, coffee maker, hot water kettle, essentials, mini fridge, bed linens, long term stays allowed, body soap",132.0,2,90,4.95,suite
optimal central downtown toronto gem_1 bed condo,waterfront communities-the island,entire rental unit,3,"wine glasses, wifi, freezer, gym, pets allowed, blender, dining table, kitchen, hot water, board games, shampoo, shower gel, baking sheet, first aid kit, books and reading material, bathtub, pool, stove, coffee, dryer, dishes and silverware, tv, washer, noise decibel monitors on property, free parking on premises, toaster, iron, dishwasher, conditioner, cooking basics, self check-in, oven, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, air conditioning, coffee maker, hot water kettle, essentials, refrigerator, heating, smart lock, body soap",261.0,1,365,4.91,"central, condo, downtown, waterfront"
private suite - 10 mim away from airportyyz,rexdale-kipling,entire guesthouse,3,"lockbox, drying rack for clothing, wine glasses, stainless steel oven, wifi, freezer, pack ’n play/travel crib - available upon request, paid washer, dining table, kitchen, hot water, private entrance, shampoo, free street parking, electric stove, exterior security cameras on property, shower gel, clothing storage: closet and wardrobe, room-darkening shades, coffee, paid dryer, tv, dishes and silverware, toaster, iron, conditioner, cooking basics, smoke alarm, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, fire extinguisher, microwave, air conditioning, trash compactor, hot water kettle, coffee maker: espresso machine, refrigerator, heating, bed linens, long term stays allowed, body soap, housekeeping - available at extra cost",108.0,1,365,4.88,"away, kipling, private, suite"
modern gem in toronto * full bungalow + parking*,stonegate-queensway,entire bungalow,2,"drying rack for clothing, wine glasses, single level home, stainless steel oven, wifi, freezer, outdoor dining area, indoor fireplace: electric, blender, dining table, kitchen, hot water, private entrance, shampoo, free driveway parking on premises – 1 space, electric stove, exterior security cameras on property, shower gel, clothing storage, baking sheet, first aid kit, outdoor furniture, park view, books and reading material, luggage dropoff allowed, room-darkening shades, free street parking, fire pit, coffee, ev charger, dishes and silverware, free dryer – in unit, central air conditioning, host greets you, free washer – in unit, toaster, iron, dishwasher, central heating, conditioner, cooking basics, smoke alarm, cleaning available during stay, bbq grill: charcoal, wood-burning, hangers, coffee maker: drip coffee maker, french press, nespresso, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, portable fans, fire extinguisher, microwave, private patio or balcony, shared backyard – fully fenced, hot water kettle, 55 inch hdtv with standard cable, essentials, lake access, sun loungers, exercise equipment, bed linens, filtered water spout inside refrigerator, long term stays allowed, body soap",137.0,30,730,5.0,"king, modern, parking"
bedroom in distillery district,waterfront communities-the island,private room in home,1,"iron, wifi, essentials, smoke alarm, heating, fire extinguisher, tv, hangers, hair dryer, hot water, carbon monoxide alarm, air conditioning",52.0,28,1125,4.89,waterfront
quaint 2 bedroom unit in mimico,mimico (includes humber bay shores),entire guest suite,3,"lockbox, wine glasses, wifi, outdoor dining area, blender, dining table, kitchen, hot water, private entrance, electric stove, exterior security cameras on property, outdoor furniture, first aid kit, dishes and silverware, tv, free dryer – in unit, central air conditioning, dedicated workspace, free washer – in unit, clothing storage: closet and dresser, toaster, central heating, cooking basics, smoke alarm, coffee maker: drip coffee maker, self check-in, hangers, carbon monoxide alarm, fire extinguisher, private patio or balcony, portable fans, cleaning products, microwave, hot water kettle, refrigerator, bed linens, bbq grill, body soap",99.0,28,180,5.0,
chic downtown condo w/ private patio + parking,north st.james town,entire condo,3,"drying rack for clothing, wine glasses, private bbq grill: gas, shared sauna, wifi, freezer, single level home, outdoor dining area, 70 inch hdtv with amazon prime video, apple tv, chromecast, disney+, netflix, blender, dining table, kitchen, hot water, shampoo, electric stove, shower gel, baking sheet, first aid kit, outdoor furniture, free parking garage on premises – 1 space, elevator, bathtub, room-darkening shades, coffee, dishes and silverware, free dryer – in unit, central air conditioning, host greets you, dedicated workspace, coffee maker: drip coffee maker, french press, free washer – in unit, clothing storage: closet and dresser, toaster, iron, dishwasher, shared outdoor pool - available seasonally, open specific hours, rooftop, central heating, conditioner, cooking basics, smoke alarm, oven, barbecue utensils, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, private patio or balcony, private gym in building, hot water kettle, essentials, refrigerator, bed linens, long term stays allowed, body soap",262.0,4,365,4.89,"condo, downtown, king, parking, private"
peaceful 2 bedroom close to transit / beach / dt,east end-danforth,entire home,4,"wifi, freezer, dining table, kitchen, hot water, private entrance, exterior security cameras on property, bathtub, stove, dishes and silverware, tv, free dryer – in unit, washer, host greets you, dedicated workspace, clothing storage: closet and dresser, dishwasher, central heating, cooking basics, smoke alarm, oven, carbon monoxide alarm, microwave, air conditioning, essentials, refrigerator, bed linens, toaster",113.0,28,180,5.0,"beach, peaceful"
2-storey king w penthouse loft + terrace + parking,niagara,entire loft,2,"wine glasses, stainless steel oven, freezer, outdoor dining area, laundromat nearby, pets allowed, dining table, kitchen, hot water, private entrance, shampoo, exterior security cameras on property, shower gel, baking sheet, first aid kit, outdoor furniture, free parking garage on premises – 1 space, other stainless steel electric stove, elevator, luggage dropoff allowed, safe, bathtub, room-darkening shades, dishes and silverware, free dryer – in unit, central air conditioning, host greets you, dedicated workspace, fast wifi – 576 mbps, free washer – in unit, clothing storage: closet and dresser, toaster, iron, dishwasher, central heating, paid street parking off premises, conditioner, city skyline view, smoke alarm, cooking basics, coffee maker: drip coffee maker, hangers, 30 inch hdtv, hair dryer, extra pillows and blankets, carbon monoxide alarm, fire extinguisher, microwave, private patio or balcony, hot water kettle, shared gym in building, essentials, refrigerator, bed linens, long term stays allowed, body soap",199.0,28,730,5.0,"king, loft, parking, penthouse"
"charming, spacious victorian in little portugal",little portugal,entire home,5,"drying rack for clothing, wifi, indoor fireplace: electric, kitchen, hot water, private entrance, shampoo, first aid kit, bathtub, high chair, stove, keypad, dryer, dishes and silverware, tv, washer, central air conditioning, noise decibel monitors on property, iron, dishwasher, central heating, cooking basics, smoke alarm, self check-in, children’s books and toys, oven, crib, hangers, hair dryer, carbon monoxide alarm, fire extinguisher, microwave, coffee maker, essentials, refrigerator, bed linens",274.0,3,365,4.94,"charming, spacious"
explore the city centre from condo with views,waterfront communities-the island,entire condo,2,"lockbox, wine glasses, shared sauna, wifi, freezer, indoor fireplace, 50 inch hdtv with amazon prime video, apple tv, disney+, hbo max, netflix, outdoor dining area, gym, shared hot tub, dining table, kitchen, hot water, board games, shampoo, shared indoor pool - available all year, open specific hours, heated, lap pool, pool toys, shower gel, baking sheet, outdoor furniture, elevator, books and reading material, clothing storage: closet, bathtub, room-darkening shades, exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat, workout bench, rowing, coffee, dryer, dishes and silverware, washer, central air conditioning, host greets you, dedicated workspace, free parking on premises, toaster, iron, dishwasher, stainless steel electric stove, city skyline view, conditioner, smoke alarm, cooking basics, oven, self check-in, cleaning available during stay, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, patio or balcony, coffee maker, hot water kettle, essentials, refrigerator, heating, bed linens, long term stays allowed, bbq grill, body soap",320.0,28,90,4.93,"city, condo, view, views, waterfront"
newly-renovated private studio apartment,moss park,entire rental unit,4,"drying rack for clothing, wine glasses, wifi, freezer, pack ’n play/travel crib - available upon request, indoor fireplace, children’s dinnerware, pets allowed, ac - split type ductless system, blender, dining table, kitchen, hot water, private entrance, shampoo, exterior security cameras on property, shower gel, clothing storage, baking sheet, first aid kit, luggage dropoff allowed, outlet covers, bathtub, room-darkening shades, coffee, dryer, keypad, dishes and silverware, washer, dedicated workspace, induction stove, toaster, iron, dishwasher, paid street parking off premises, conditioner, cooking basics, smoke alarm, self check-in, heating - split type ductless system, oven, coffee maker: french press, keurig coffee machine, baby safety gates, cleaning available during stay, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, children’s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old, microwave, private patio or balcony, clamp on table seat high chair - available upon request, hot water kettle, essentials, refrigerator, changing table, ceiling fan, bed linens, long term stays allowed, body soap, 55 inch hdtv with amazon prime video, chromecast, disney+, hbo max, netflix, standard cable",100.0,28,365,4.92,"apartment, private, renovated, studio"
convenient scarborough basement studio style suite,kennedy park,private room in home,4,"wifi, freezer, dining table, kitchen, hot water, private entrance, shampoo, free street parking, exterior security cameras on property, shower gel, luggage dropoff allowed, stove, coffee, dryer, keypad, dishes and silverware, tv, washer, lock on bedroom door, backyard, dedicated workspace, free parking on premises, iron, conditioner, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, carbon monoxide alarm, fire extinguisher, portable fans, microwave, air conditioning, coffee maker, hot water kettle, essentials, refrigerator, heating, mini fridge, bed linens, body soap",52.0,2,365,4.79,"basement, studio, suite"
high rise 2br near dundas eaton centre dt toronto,church-yonge corridor,entire condo,6,"lockbox, wine glasses, paid parking on premises, wifi, freezer, dining table, kitchen, hot water, private entrance, shampoo, elevator, first aid kit, clothing storage: closet, bathtub, stove, coffee, dryer, dishes and silverware, tv, washer, crib - always at the listing, dedicated workspace, coffee maker: keurig coffee machine, toaster, iron, dishwasher, paid parking off premises, city skyline view, conditioner, smoke alarm, cooking basics, oven, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, patio or balcony, air conditioning, hot water kettle, essentials, refrigerator, heating, bed linens, long term stays allowed, body soap, housekeeping - available at extra cost",344.0,1,365,4.95,
toronto vacation 2bd w/best  food/free parking,agincourt north,entire home,4,"wine glasses, single level home, wifi, dining table, kitchen, hot water, private entrance, shampoo, exterior security cameras on property, shower gel, baking sheet, first aid kit, clothing storage: closet, stove, stainless steel single oven, coffee, dishes and silverware, tv, free dryer – in unit, free washer – in unit, free parking on premises, iron, central heating, conditioner, cooking basics, smoke alarm, coffee maker: drip coffee maker, hangers, hair dryer, carbon monoxide alarm, cleaning products, microwave, air conditioning, hot water kettle, essentials, refrigerator, bed linens, long term stays allowed, toaster",130.0,2,180,4.87,"best, free parking, king, parking"
1 bed 1 bath w. balcony walk to sick kids hospital,bay street corridor,entire condo,4,"lockbox, paid parking garage on premises – 2 spaces, wine glasses, single level home, wifi, ethernet connection, indoor fireplace, freezer, gym, laundromat nearby, pets allowed, blender, dining table, kitchen, hot water, private entrance, shampoo, shower gel, 42 inch hdtv with netflix, roku, standard cable, first aid kit, outdoor furniture, books and reading material, elevator, clothing storage: closet, bathtub, high chair, stove, coffee, dishes and silverware, free dryer – in unit, dedicated workspace, free washer – in unit, toaster, iron, dishwasher, conditioner, cooking basics, smoke alarm, hot tub, oven, self check-in, crib, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, portable fans, fire extinguisher, microwave, private patio or balcony, sound system, air conditioning, coffee maker, hot water kettle, essentials, refrigerator, heating, bed linens, long term stays allowed, body soap",222.0,28,31,5.0,"balcony, bath, walk to"
beautiful 1 bed 1 bath | richmond & duncan,waterfront communities-the island,entire condo,2,"paid parking on premises, wifi, outdoor dining area, shared hot tub, kitchen, hot water, shampoo, outdoor furniture, elevator, 43 inch hdtv with standard cable, dishes and silverware, free dryer – in unit, washer, central air conditioning, dedicated workspace, shared patio or balcony, iron, dishwasher, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, fire extinguisher, extra pillows and blankets, carbon monoxide alarm, microwave, aeg electric stove, coffee maker, shared gym in building, essentials, refrigerator, heating, smart lock, bed linens, long term stays allowed, bbq grill",150.0,30,1125,4.85,"bath, waterfront"
adorable 1 bdrm. coach house w/patio,cabbagetown-south st.james town,entire guesthouse,2,"wine glasses, stainless steel oven, wifi, outdoor dining area, blender, dining table, kitchen, hot water, private entrance, electric stove, baking sheet, radiant heating, bathtub, dishes and silverware, free dryer – in unit, garden view, coffee maker: french press, free washer – in unit, clothing storage: closet and dresser, toaster, iron, dishwasher, cooking basics, smoke alarm, hangers, extra pillows and blankets, fire extinguisher, carbon monoxide alarm, portable air conditioning, cleaning products, microwave, private patio or balcony, shared backyard – fully fenced, long term stays allowed, hot water kettle, essentials, refrigerator, bed linens, portable heater, body soap",145.0,28,730,5.0,coach
beautiful boutique midtown home,briar hill-belgravia,entire home,7,"single level home, stainless steel oven, freezer, ethernet connection, outdoor dining area, laundromat nearby, dining table, kitchen, hot water, board games, shampoo, private entrance, exterior security cameras on property, shower gel, outdoor furniture, first aid kit, luggage dropoff allowed, 65 inch hdtv, clothing storage: closet, fast wifi – 522 mbps, bathtub, room-darkening shades, coffee, dishes and silverware, dedicated workspace, free parking on premises, toaster, iron, lg sound system with bluetooth and aux, central heating, stainless steel electric stove, paid street parking off premises, conditioner, cooking basics, smoke alarm, private backyard – fully fenced, barbecue utensils, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, portable air conditioning, portable fans, microwave, private patio or balcony, hot water kettle, essentials, refrigerator, smart lock, ceiling fan, bed linens, coffee maker: nespresso, outdoor playground, long term stays allowed, bbq grill, body soap",245.0,2,180,4.71,
renovated studio apartment,dovercourt-wallace emerson-junction,entire rental unit,2,"lockbox, wifi, kitchen, hot water, private entrance, first aid kit, stove, dryer, dishes and silverware, washer, backyard, cooking basics, smoke alarm, self check-in, oven, hangers, carbon monoxide alarm, microwave, coffee maker, air conditioning, essentials, refrigerator, heating",81.0,28,1125,4.67,"apartment, renovated, studio"
peaceful room in victorian house with hot tub,regent park,private room in home,2,"lockbox, drying rack for clothing, wine glasses, private living room, wifi, ethernet connection, freezer, outdoor dining area, blender, dining table, kitchen, hot water, shampoo, exterior security cameras on property, shower gel, clothing storage, baking sheet, first aid kit, outdoor furniture, books and reading material, luggage dropoff allowed, room-darkening shades, stove, coffee, dryer, dishes and silverware, tv, washer, bidet, lock on bedroom door, backyard, dedicated workspace, toaster, iron, dishwasher, hockey rink, paid parking off premises, conditioner, cooking basics, smoke alarm, hot tub, oven, self check-in, cleaning available during stay, hair dryer, carbon monoxide alarm, fire extinguisher, microwave, patio or balcony, air conditioning, hot water kettle, essentials, sun loungers, refrigerator, heating, bed linens, coffee maker: nespresso, outdoor playground, long term stays allowed, body soap",154.0,1,45,4.96,peaceful
stay safe and sleep tight - 10 mins away from dt,flemingdon park,private room in rental unit,1,"wifi, kitchen, hot water, free street parking, shampoo, shower gel, washer – in building, elevator, bathtub, room-darkening shades, stove, dishes and silverware, lock on bedroom door, dedicated workspace, dryer – in building, shared patio or balcony, iron, smoke alarm, oven, 65 inch hdtv with netflix, cleaning available during stay, hangers, hair dryer, extra pillows and blankets, microwave, coffee maker, essentials, refrigerator, heating",60.0,28,1125,4.56,"away, safe"
cozy room in a beautiful home,east end-danforth,private room in home,2,"iron, wifi, indoor fireplace, essentials, smoke alarm, heating, self check-in, dryer, keypad, fire extinguisher, tv, hangers, washer, lock on bedroom door, carbon monoxide alarm, kitchen, air conditioning",46.0,28,60,4.75,cozy
spacious main floor apartment- close to downtown,humewood-cedarvale,entire guest suite,2,"drying rack for clothing, wine glasses, wifi, freezer, bread maker, dining table, kitchen, hot water, private entrance, shampoo, shower gel, baking sheet, room-darkening shades, stove, coffee, keypad, dishes and silverware, central air conditioning, coffee maker: french press, dedicated workspace, clothing storage: closet and dresser, toaster, iron, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, carbon monoxide alarm, fire extinguisher, portable fans, cleaning products, hdtv with amazon prime video, netflix, disney+, microwave, hot water kettle, essentials, refrigerator, heating, paid dryer – in building, bed linens, paid washer – in building, long term stays allowed, body soap",76.0,28,101,5.0,"apartment, downtown, spacious"
"forest hill suite with private bathroom, kitchen",forest hill south,private room in home,2,"private living room, wifi, ethernet connection, gym, dining table, kitchen, hot water, rice maker, shampoo, private entrance, free street parking, clothing storage, luggage dropoff allowed, books and reading material, safe, stove, coffee, dryer, keypad, dishes and silverware, free washer – in unit, free parking on premises, iron, dishwasher, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, extra pillows and blankets, 24 inch hdtv with netflix, portable fans, cleaning products, carbon monoxide alarm, microwave, coffee maker, private backyard, hot water kettle, essentials, refrigerator, heating, exercise equipment, bed linens, long term stays allowed, body soap",180.0,1,10,4.67,"bath, private, suite"
stunning viewcentral downtown at waterfront+prkg,niagara,entire condo,4,"wine glasses, single level home, freezer, dining table, kitchen, hot water, shampoo, shower gel, outdoor furniture, elevator, bathtub, room-darkening shades, stove, keypad, dryer, dishes and silverware, tv, washer, coffee maker: keurig coffee machine, free parking on premises, iron, dishwasher, cooking basics, smoke alarm, mosquito net, oven, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, microwave, private patio or balcony, long term stays allowed, air conditioning, hot water kettle, shared gym in building, essentials, lake access, refrigerator, heating, bed linens, wifi – 42 mbps, shared indoor pool - available all year, open specific hours, toaster",136.0,28,1125,4.88,"central, downtown, view, waterfront"
1b:downtown/univoftoronto/ocad/ago/kensington/uhn,kensington-chinatown,private room in home,2,"free washer – in building, clothing storage: wardrobe, dining table, kitchen, hot water, shampoo, exterior security cameras on property, shower gel, baking sheet, radiant heating, bathtub, stove, dishes and silverware, tv, fast wifi – 91 mbps, backyard, lock on bedroom door, dryer – in building, toaster, iron, dishwasher, central heating, paid parking off premises, conditioner, cooking basics, smoke alarm, oven, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, portable fans, fire extinguisher, microwave, long term stays allowed, air conditioning, coffee maker, essentials, refrigerator, bed linens, portable heater, body soap",160.0,28,1125,5.0,downtown
sweet + inviting toronto midtown one bedroom apt,oakwood village,entire rental unit,2,"paid parking on premises, wifi, outdoor dining area, indoor fireplace: electric, kitchen, hot water, board games, shampoo, private entrance, outdoor furniture, first aid kit, luggage dropoff allowed, bathtub, stove, keypad, dishes and silverware, tv, backyard, dedicated workspace, iron, paid parking off premises, cooking basics, baby monitor, smoke alarm, children’s books and toys, oven, self check-in, hangers, hair dryer, fire extinguisher, extra pillows and blankets, carbon monoxide alarm, microwave, patio or balcony, coffee maker, essentials, refrigerator, heating, bed linens, long term stays allowed, bbq grill",178.0,28,90,4.75,
"private home, 5 beds, rogers centre & free parking",waterfront communities-the island,entire rental unit,10,"lockbox, wine glasses, paid parking on premises, single level home, wifi, freezer, laundromat nearby, dining table, kitchen, hot water, shower gel, baking sheet, first aid kit, clothing storage: closet, bathtub, stove, housekeeping available from 11:00 am to 5:00 pm, every day - available at extra cost, coffee, dryer, dishes and silverware, tv, washer, paya conditioner, iron, dishwasher, cooking basics, smoke alarm, hot tub, oven, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, microwave, coffee maker, hot water kettle, paya shampoo, essentials, refrigerator, heating, bed linens, free residential garage on premises, long term stays allowed, body soap",532.0,1,365,5.0,"free parking, king, parking, private, waterfront"
charming 1 bedroom apartment @ eglinton & bayview,mount pleasant east,entire home,2,"wine glasses, wifi, freezer, laundromat nearby, ac - split type ductless system, free washer – in building, dining table, hot water, private entrance, free street parking, clothing storage, first aid kit, bathtub, room-darkening shades, stove, keypad, dishes and silverware, tv with standard cable, dishwasher, cooking basics, smoke alarm, self check-in, oven, hangers, carbon monoxide alarm, microwave, portable fans, hot water kettle, refrigerator, heating, ceiling fan, bed linens, free dryer – in building, toaster",75.0,28,75,3.0,"apartment, charming, view"
"private room, kitchen & bathroom",old east york,private room in home,1,"lockbox, wifi, hot water, exterior security cameras on property, dishes and silverware, tv, lock on bedroom door, clothing storage: closet and dresser, iron, kitchenette, cooking basics, smoke alarm, self check-in, carbon monoxide alarm, fire extinguisher, microwave, portable fans, hot water kettle, heating, mini fridge",64.0,1,28,5.0,"bath, private, private room"
minutes fr eaton centre & dundas sq + parking,regent park,entire condo,2,"wifi, kitchen, hot water, private entrance, shampoo, elevator, first aid kit, dryer, tv, washer, dedicated workspace, free parking on premises, iron, cooking basics, smoke alarm, hangers, hair dryer, carbon monoxide alarm, patio or balcony, coffee maker, air conditioning, essentials, heating",174.0,28,730,4.88,"king, parking"
designer 2bd downtown toronto,church-yonge corridor,entire condo,6,"lockbox, wine glasses, wifi, freezer, kitchen, hot water, private entrance, shampoo, shower gel, elevator, bathtub, stove, lake view, dishes and silverware, tv, washer, toaster, iron, dishwasher, city skyline view, cooking basics, smoke alarm, coffee maker: drip coffee maker, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, microwave, air conditioning, essentials, free dryer, refrigerator, heating, paid parking garage on premises – 1 space, bed linens, long term stays allowed, body soap",319.0,1,365,4.77,downtown
modern apartment in historic home near trinity bellwoods,trinity-bellwoods,entire rental unit,2,"wine glasses, wifi, freezer, laundromat nearby, record player, dining table, kitchen, hot water, private entrance, shampoo, electric stove, shower gel, baking sheet, luggage dropoff allowed, books and reading material, coffee, dishes and silverware, tv, central air conditioning, dedicated workspace, game console, toaster, iron, dishwasher, paid street parking off premises, conditioner, cooking basics, smoke alarm, self check-in, oven, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, fire extinguisher, microwave, sound system, coffee maker, hot water kettle, essentials, refrigerator, heating, exercise equipment, smart lock, bed linens, long term stays allowed, body soap",172.0,2,1125,4.8,"apartment, historic, modern, trinity-bellwoods"
cozy downtown city room,regent park,private room in home,1,"wine glasses, wifi, freezer, blender, dining table, kitchen, hot water, rice maker, shampoo, exterior security cameras on property, baking sheet, first aid kit, luggage dropoff allowed, books and reading material, clothing storage: closet, bathtub, stove, coffee, keypad, paid dryer, dishes and silverware, bidet, lock on bedroom door, coffee maker: french press, dedicated workspace, iron, central heating, cooking basics, smoke alarm, self check-in, cleaning available during stay, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, fire extinguisher, microwave, air conditioning, hot water kettle, paid washer – in unit, essentials, refrigerator, bed linens, body soap",117.0,1,365,4.87,"city, cozy, downtown"
comfy private room downtown,wychwood,private room in rental unit,2,"wifi, kitchen, hot water, shampoo, shower gel, stove, keypad, dryer, dishes and silverware, washer, lock on bedroom door, dedicated workspace, cooking basics, smoke alarm, self check-in, hangers, hair dryer, fire extinguisher, carbon monoxide alarm, cleaning products, microwave, air conditioning, essentials, refrigerator, heating, long term stays allowed",35.0,28,60,4.0,"downtown, private, private room"
3rd floor large private room in safe neighbourhood,palmerston-little italy,private room in home,1,"lockbox, paid parking on premises, private living room, ethernet connection, kitchen, hot water, free street parking, shampoo, stove, dishes and silverware, lock on bedroom door, dedicated workspace, shared patio or balcony, iron, paid parking off premises, cooking basics, smoke alarm, self check-in, oven, hangers, fast wifi – 278 mbps, hair dryer, fire extinguisher, extra pillows and blankets, carbon monoxide alarm, microwave, shared backyard – fully fenced, coffee maker, essentials, refrigerator, heating, bed linens, long term stays allowed",43.0,28,90,4.5,"little italy, palmerston, private, private room, safe"
"near kipling station, toronto cozy room r2",princess-rosethorn,private room in bungalow,1,"wifi, dining table, kitchen, hot water, shampoo, exterior security cameras on property, shower gel, first aid kit, room-darkening shades, keypad, dishes and silverware, free dryer – in unit, central air conditioning, lock on bedroom door, dedicated workspace, free washer – in unit, iron, dishwasher, stainless steel electric stove, cooking basics, smoke alarm, self check-in, hangers, hair dryer, carbon monoxide alarm, fire extinguisher, portable fans, cleaning products, microwave, coffee maker, hot water kettle, essentials, refrigerator, heating, bed linens, long term stays allowed, toaster",46.0,28,60,4.97,"cozy, kipling"
self-contained studio apartment(on main floor),ionview,entire rental unit,3,"wine glasses, wifi, freezer, free washer – in building, clothing storage: wardrobe, dining table, kitchen, hot water, rice maker, shampoo, electric stove, baking sheet, luggage dropoff allowed, room-darkening shades, stainless steel single oven, keypad, dishes and silverware, central air conditioning, dedicated workspace, toaster, iron, dishwasher, central heating, conditioner, cooking basics, smoke alarm, coffee maker: drip coffee maker, self check-in, hangers, hair dryer, carbon monoxide alarm, cleaning products, microwave, long term stays allowed, hot water kettle, essentials, refrigerator, bed linens, 42 inch hdtv, free dryer – in building, body soap",161.0,28,365,4.86,"apartment, studio, view"
bright room with private bathroom,steeles,private room in home,2,"wifi, dining table, hot water, exterior security cameras on property, keypad, dishes and silverware, washer, lock on bedroom door, dedicated workspace, free parking on premises, kitchenette, smoke alarm, self check-in, carbon monoxide alarm, microwave, air conditioning, hot water kettle, refrigerator, heating, toaster",62.0,1,365,4.78,"bath, bright, private"
casa savoia,islington-city centre west,entire rental unit,2,"lockbox, wifi, outdoor dining area, kitchen, hot water, exterior security cameras on property, first aid kit, dishes and silverware, tv, washer, dedicated workspace, free parking on premises, iron, conditioner, cooking basics, smoke alarm, self check-in, hair dryer, carbon monoxide alarm, cleaning products, air conditioning, essentials, heating",125.0,28,1125,5.0,city
downtown waterfront retreat,waterfront communities-the island,entire rental unit,2,"drying rack for clothing, wine glasses, shared sauna, wifi, freezer, outdoor dining area, laundromat nearby, blender, dining table, kitchen, hot water, private entrance, shampoo, electric stove, shower gel, baking sheet, first aid kit, outdoor furniture, books and reading material, elevator, safe, bathtub, pool, lake view, stainless steel double oven, coffee, dishes and silverware, tv, free dryer – in unit, washer, dedicated workspace, clothing storage: closet and dresser, toaster, iron, paid parking garage off premises, harbor view, dishwasher, central heating, conditioner, cooking basics, smoke alarm, self check-in, hangers, hair dryer, extra pillows and blankets, carbon monoxide alarm, cleaning products, portable fans, fire extinguisher, microwave, private patio or balcony, air conditioning, hot water kettle, waterfront, gym in building, essentials, lake access, sun loungers, refrigerator, exercise equipment, smart lock, bed linens, coffee maker: nespresso, bbq grill, body soap",223.0,1,25,4.98,"downtown, waterfront"
lovely 1 br in tos coolest hood,little portugal,entire home,3,"wine glasses, wifi, freezer, dining table, kitchen, hot water, private entrance, baking sheet, radiant heating, bathtub, stove, coffee, dishes and silverware, tv, shared patio or balcony, clothing storage: closet and dresser, toaster, dishwasher, cooking basics, smoke alarm, oven, hangers, hair dryer, fire extinguisher, extra pillows and blankets, carbon monoxide alarm, microwave, air conditioning, hot water kettle, essentials, refrigerator, bed linens, long term stays allowed, coffee maker: french press",79.0,28,365,4.5,
